block,bid_price_eur_mwh,P_accept
00-04,3.0,0.7424657534246575
00-04,3.0,0.7397260273972603
00-04,3.0,0.736986301369863
00-04,3.0,0.7342465753424657
00-04,3.0,0.7315068493150685
00-04,3.0,0.7287671232876712
00-04,3.02,0.726027397260274
00-04,3.02,0.7232876712328767
00-04,3.02,0.7205479452054795
00-04,3.07,0.7178082191780821
00-04,3.07,0.715068493150685
00-04,3.12,0.7123287671232876
00-04,3.15,0.7095890410958905
00-04,3.17,0.7068493150684931
00-04,3.19,0.7041095890410959
00-04,3.23,0.7013698630136986
00-04,3.24,0.6986301369863014
00-04,3.26,0.6958904109589041
00-04,3.3,0.6931506849315068
00-04,3.31,0.6904109589041096
00-04,3.33,0.6876712328767123
00-04,3.34,0.6849315068493151
00-04,3.34,0.6821917808219178
00-04,3.43,0.6794520547945205
00-04,3.44,0.6767123287671233
00-04,3.45,0.673972602739726
00-04,3.47,0.6712328767123288
00-04,3.47,0.6684931506849314
00-04,3.47,0.6657534246575343
00-04,3.48,0.6630136986301369
00-04,3.48,0.6602739726027398
00-04,3.5,0.6575342465753424
00-04,3.5,0.6547945205479452
00-04,3.51,0.6520547945205479
00-04,3.53,0.6493150684931507
00-04,3.55,0.6465753424657534
00-04,3.56,0.6438356164383562
00-04,3.57,0.6410958904109589
00-04,3.57,0.6383561643835616
00-04,3.6,0.6356164383561644
00-04,3.6,0.6328767123287671
00-04,3.68,0.6301369863013699
00-04,3.71,0.6273972602739726
00-04,3.77,0.6246575342465753
00-04,3.78,0.6219178082191781
00-04,3.78,0.6191780821917808
00-04,3.8,0.6164383561643836
00-04,3.8,0.6136986301369862
00-04,3.81,0.6109589041095891
00-04,3.81,0.6082191780821917
00-04,3.84,0.6054794520547946
00-04,3.85,0.6027397260273972
00-04,3.9,0.6
00-04,3.93,0.5972602739726027
00-04,4.0,0.5945205479452055
00-04,4.0,0.5917808219178082
00-04,4.0,0.589041095890411
00-04,4.0,0.5863013698630137
00-04,4.06,0.5835616438356164
00-04,4.09,0.5808219178082192
00-04,4.12,0.5780821917808219
00-04,4.19,0.5753424657534247
00-04,4.19,0.5726027397260274
00-04,4.23,0.5698630136986301
00-04,4.3,0.5671232876712329
00-04,4.36,0.5643835616438356
00-04,4.39,0.5616438356164384
00-04,4.4,0.558904109589041
00-04,4.41,0.5561643835616439
00-04,4.42,0.5534246575342465
00-04,4.42,0.5506849315068494
00-04,4.47,0.547945205479452
00-04,4.47,0.5452054794520548
00-04,4.5,0.5424657534246575
00-04,4.55,0.5397260273972603
00-04,4.6,0.536986301369863
00-04,4.65,0.5342465753424658
00-04,4.73,0.5315068493150685
00-04,4.78,0.5287671232876712
00-04,4.81,0.526027397260274
00-04,4.82,0.5232876712328767
00-04,4.88,0.5205479452054795
00-04,4.91,0.5178082191780822
00-04,5.0,0.5150684931506849
00-04,5.0,0.5123287671232877
00-04,5.0,0.5095890410958904
00-04,5.1,0.5068493150684932
00-04,5.15,0.5041095890410958
00-04,5.19,0.5013698630136987
00-04,5.28,0.4986301369863013
00-04,5.39,0.49589041095890407
00-04,5.46,0.4931506849315068
00-04,5.47,0.4904109589041096
00-04,5.48,0.4876712328767123
00-04,5.5,0.4849315068493151
00-04,5.59,0.4821917808219178
00-04,5.66,0.4794520547945206
00-04,5.7,0.47671232876712333
00-04,5.71,0.4739726027397261
00-04,5.78,0.4712328767123287
00-04,5.8,0.46849315068493147
00-04,5.82,0.4657534246575342
00-04,5.82,0.46301369863013697
00-04,5.9,0.4602739726027397
