block,bid_price_eur_mwh,P_accept
00-04,9.35,0.6520547945205479
00-04,9.73,0.6493150684931507
00-04,9.74,0.6465753424657534
00-04,9.75,0.6438356164383562
00-04,9.78,0.6410958904109589
00-04,9.9,0.6383561643835616
00-04,9.9,0.6356164383561644
00-04,9.9,0.6328767123287671
00-04,9.9,0.6301369863013699
00-04,9.99,0.6273972602739726
00-04,10.0,0.6246575342465753
00-04,10.0,0.6219178082191781
00-04,10.0,0.6191780821917808
00-04,10.0,0.6164383561643836
00-04,10.0,0.6136986301369862
00-04,10.0,0.6109589041095891
00-04,10.0,0.6082191780821917
00-04,10.0,0.6054794520547946
00-04,10.0,0.6027397260273972
00-04,10.12,0.6
00-04,10.26,0.5972602739726027
00-04,10.5,0.5945205479452055
00-04,10.66,0.5917808219178082
00-04,10.75,0.589041095890411
00-04,10.91,0.5863013698630137
00-04,11.0,0.5835616438356164
00-04,11.0,0.5808219178082192
00-04,11.07,0.5780821917808219
00-04,11.2,0.5753424657534247
00-04,11.31,0.5726027397260274
00-04,11.82,0.5698630136986301
00-04,11.87,0.5671232876712329
00-04,11.9,0.5643835616438356
00-04,11.96,0.5616438356164384
00-04,12.0,0.558904109589041
00-04,12.0,0.5561643835616439
00-04,12.0,0.5534246575342465
00-04,12.0,0.5506849315068494
00-04,12.0,0.547945205479452
00-04,12.09,0.5452054794520548
00-04,12.48,0.5424657534246575
00-04,12.48,0.5397260273972603
00-04,12.56,0.536986301369863
00-04,12.57,0.5342465753424658
00-04,12.67,0.5315068493150685
00-04,12.76,0.5287671232876712
00-04,12.81,0.526027397260274
00-04,12.97,0.5232876712328767
00-04,13.0,0.5205479452054795
00-04,13.05,0.5178082191780822
00-04,13.06,0.5150684931506849
00-04,13.15,0.5123287671232877
00-04,13.18,0.5095890410958904
00-04,13.3,0.5068493150684932
00-04,13.34,0.5041095890410958
00-04,13.45,0.5013698630136987
00-04,13.5,0.4986301369863013
00-04,13.5,0.49589041095890407
00-04,13.58,0.4931506849315068
00-04,13.81,0.4904109589041096
00-04,13.84,0.4876712328767123
00-04,13.87,0.4849315068493151
00-04,14.0,0.4821917808219178
00-04,14.0,0.4794520547945206
00-04,14.0,0.47671232876712333
00-04,14.6,0.4739726027397261
00-04,14.68,0.4712328767123287
00-04,15.0,0.46849315068493147
00-04,15.0,0.4657534246575342
00-04,15.0,0.46301369863013697
00-04,15.0,0.4602739726027397
00-04,15.0,0.4575342465753425
00-04,15.19,0.4547945205479452
00-04,15.46,0.452054794520548
00-04,15.58,0.4493150684931507
00-04,15.64,0.4465753424657535
00-04,15.68,0.4438356164383561
00-04,15.69,0.44109589041095887
00-04,16.0,0.4383561643835616
00-04,16.0,0.43561643835616437
00-04,16.0,0.4328767123287671
00-04,16.04,0.4301369863013699
00-04,16.23,0.4273972602739726
00-04,16.35,0.4246575342465754
00-04,16.41,0.4219178082191781
00-04,16.58,0.4191780821917809
00-04,16.82,0.4164383561643835
00-04,16.85,0.41369863013698627
00-04,17.0,0.410958904109589
00-04,17.0,0.40821917808219177
00-04,17.0,0.4054794520547945
00-04,17.05,0.40273972602739727
00-04,17.15,0.4
00-04,17.19,0.3972602739726028
00-04,17.48,0.3945205479452055
00-04,17.5,0.39178082191780816
00-04,17.5,0.3890410958904109
00-04,17.65,0.38630136986301367
00-04,17.8,0.3835616438356164
00-04,17.88,0.38082191780821917
00-04,17.88,0.3780821917808219
00-04,17.95,0.37534246575342467
00-04,18.0,0.3726027397260274
00-04,18.0,0.36986301369863017
00-04,18.0,0.3671232876712329
00-04,18.1,0.36438356164383556
00-04,18.68,0.3616438356164383
00-04,18.93,0.35890410958904106
00-04,19.0,0.3561643835616438
00-04,19.0,0.35342465753424657
00-04,19.11,0.3506849315068493
00-04,19.11,0.34794520547945207
00-04,19.19,0.3452054794520548
00-04,19.2,0.34246575342465757
00-04,19.37,0.3397260273972603
00-04,19.41,0.33698630136986296
00-04,19.66,0.3342465753424657
00-04,19.8,0.33150684931506846
00-04,19.82,0.3287671232876712
00-04,19.9,0.32602739726027397
00-04,20.0,0.3232876712328767
00-04,20.0,0.32054794520547947
00-04,20.0,0.3178082191780822
00-04,20.2,0.31506849315068497
00-04,20.32,0.3123287671232877
00-04,20.5,0.30958904109589036
00-04,20.58,0.3068493150684931
00-04,20.81,0.30410958904109586
00-04,21.0,0.3013698630136986
00-04,21.0,0.29863013698630136
00-04,21.0,0.2958904109589041
00-04,22.0,0.29315068493150687
00-04,22.0,0.2904109589041096
00-04,22.0,0.28767123287671237
00-04,22.0,0.2849315068493151
00-04,22.0,0.28219178082191776
00-04,22.18,0.2794520547945205
00-04,22.3,0.27671232876712326
00-04,22.34,0.273972602739726
00-04,22.6,0.27123287671232876
00-04,22.67,0.2684931506849315
00-04,23.0,0.26575342465753427
00-04,23.54,0.263013698630137
00-04,23.98,0.26027397260273977
00-04,24.0,0.2575342465753425
00-04,24.32,0.25479452054794516
00-04,24.47,0.2520547945205479
00-04,25.0,0.24931506849315066
00-04,25.0,0.2465753424657534
00-04,25.0,0.24383561643835616
00-04,25.1,0.2410958904109589
00-04,25.3,0.23835616438356166
00-04,25.68,0.23561643835616441
00-04,25.91,0.23287671232876717
00-04,26.04,0.23013698630136992
00-04,26.04,0.22739726027397256
00-04,26.05,0.2246575342465753
