block,bid_price_eur_mwh,bid_x_P_accept_eur_mwh
00-04,200.0,3.287671232876721
00-04,200.0,2.7397260273972712
00-04,202.78,2.2222465753424565
00-04,400.0,3.287671232876699
00-04,420.0,2.301369863013689
00-04,500.0,1.3698630136986245
00-04,500.0,0.0
04-08,0.71,0.7080440771349862
04-08,0.73,0.7259779614325068
04-08,0.79,0.7834710743801654
04-08,0.83,0.8208539944903581
04-08,0.86,0.8481542699724518
04-08,0.97,0.9539669421487603
04-08,1.0,0.9807162534435262
04-08,1.07,1.0464187327823693
04-08,1.07,1.0434710743801654
04-08,1.2,1.1669421487603304
04-08,1.28,1.2412121212121212
04-08,1.43,1.3827272727272726
04-08,1.5,1.446280991735537
04-08,1.5,1.4421487603305785
04-08,1.58,1.514710743801653
04-08,1.67,1.5963911845730028
04-08,1.7,1.6203856749311294
04-08,1.71,1.6252066115702477
04-08,1.71,1.620495867768595
04-08,1.73,1.6346831955922865
04-08,1.77,1.6676033057851238
04-08,1.78,1.6721212121212123
04-08,1.79,1.6765840220385675
04-08,1.8,1.6809917355371902
04-08,1.81,1.68534435261708
04-08,1.83,1.6989256198347107
04-08,1.85,1.712396694214876
04-08,1.86,1.7165289256198348
04-08,1.87,1.7206060606060607
04-08,1.9,1.7429752066115702
04-08,1.9,1.7377410468319558
04-08,1.9,1.7325068870523415
04-08,1.9,1.727272727272727
04-08,1.91,1.7311019283746554
04-08,1.91,1.7258402203856749
04-08,1.93,1.738595041322314
04-08,1.95,1.7512396694214876
04-08,1.96,1.7548209366391185
04-08,1.99,1.776198347107438
04-08,2.0,1.7796143250688705
04-08,2.0,1.7741046831955922
04-08,2.0,1.768595041322314
04-08,2.0,1.7630853994490359
04-08,2.0,1.7575757575757576
04-08,2.05,1.795867768595041
04-08,2.06,1.7989531680440773
04-08,2.06,1.7932782369146008
04-08,2.07,1.7962809917355371
04-08,2.08,1.799228650137741
04-08,2.09,1.8021212121212118
04-08,2.14,1.8393388429752067
04-08,2.17,1.8591460055096418
04-08,2.18,1.8617079889807162
04-08,2.18,1.8557024793388432
04-08,2.2,1.866666666666667
04-08,2.2,1.8606060606060608
04-08,2.2,1.8545454545454547
04-08,2.23,1.8736914600550962
04-08,2.24,1.8759228650137743
04-08,2.27,1.894793388429752
04-08,2.33,1.9384573002754821
04-08,2.36,1.9569146005509641
04-08,2.4,1.9834710743801653
04-08,2.44,2.009807162534435
04-08,2.45,2.0112947658402205
04-08,2.47,2.020909090909091
04-08,2.47,2.0141046831955927
04-08,2.49,2.0235537190082646
04-08,2.5,2.024793388429752
04-08,2.5,2.0179063360881546
04-08,2.57,2.06732782369146
04-08,2.57,2.0602479338842974
04-08,2.59,2.0691460055096416
04-08,2.59,2.062011019283746
04-08,2.59,2.0548760330578513
04-08,2.6,2.0556473829201103
04-08,2.62,2.0642424242424244
04-08,2.62,2.05702479338843
04-08,2.69,2.104573002754821
04-08,2.71,2.112754820936639
04-08,2.72,2.1130578512396694
04-08,2.72,2.105564738292011
04-08,2.75,2.121212121212121
04-08,2.79,2.144380165289256
04-08,2.8,2.1443526170798894
04-08,2.81,2.1442699724517906
04-08,2.86,2.1745454545454543
04-08,2.87,2.1742424242424243
04-08,2.88,2.173884297520661
04-08,2.89,2.1734710743801653
04-08,2.9,2.1730027548209367
04-08,2.9,2.165013774104683
04-08,2.9,2.1570247933884295
04-08,3.0,2.223140495867769
04-08,3.0,2.2148760330578514
04-08,3.0,2.206611570247934
04-08,3.0,2.1983471074380168
04-08,3.0,2.1900826446280988
04-08,3.0,2.1818181818181817
04-08,3.0,2.1735537190082646
04-08,3.0,2.165289256198347
04-08,3.0,2.15702479338843
04-08,3.02,2.1630853994490358
04-08,3.02,2.1547658402203855
04-08,3.05,2.1677685950413226
04-08,3.05,2.1593663911845726
04-08,3.06,2.15801652892562
04-08,3.06,2.149586776859504
04-08,3.08,2.1551515151515153
04-08,3.13,2.1815151515151516
04-08,3.17,2.2006611570247934
04-08,3.21,2.219586776859504
04-08,3.22,2.217630853994491
04-08,3.28,2.2499173553719003
04-08,3.31,2.2613774104683197
04-08,3.31,2.252258953168044
04-08,3.35,2.2702479338842974
04-08,3.36,2.267768595041322
04-08,3.39,2.2786776859504134
04-08,3.44,2.302809917355372
04-08,3.44,2.2933333333333334
04-08,3.45,2.290495867768595
